DocID,Title,WikiID,In,Out
0,Soapserie,13343,"GTST;Goede tijden, slechte tijden
ONM;Onderweg Naar Morgen
ATWT;As the World Turns","ATWT;As the World Turns
BNN;Bart's Neverending Network
RTL;Radio Télévision Luxembourg
SBS6;Scandinavian Broadcasting System 6
etc.;et cetera"
1,Publiek_domein,35876,CC0;Creative Commons Publiek Domein Verklaring,"CDSM;Copyright in the Digital Single Market
CIA;Central Intelligence Agency"
2,Bitumen,162682,PAK;polycyclische aromatische koolwaterstoffen,"v.Chr.;voor Christus
°C;graden celcius
Tg;glass transition temperature"
3,Waterschapsverkiezingen,1642900,"LTO;Land- en Tuinbouworganisatie
T/m;Tot en met
VBNE;Vereniging van Bos- en Natuurterreineigenaren",
4,Edinburgh,35081,SNP;Scottish National Party,"FC;Football Club
St;saint
UNESCO;United Nations Educational, Scientific and Cultural Organization
n.Chr.;na Christus
o.a.;onder andere
v.Chr.;voor Christus
ONS;Office for National Statistics"
5,Verenigd_Koninkrijk,1813,"EU;Europese Unie
GB;Groot-Brittannië
ID-kaart;identiteitskaart
MP;Members of Parliament
UK;United Kingdom
VK;Verenigd Koninkrijk
EU-lidmaatschap;Europese Unie-lidmaatschap","BBC;British Broadcasting Corporation
BSkyB;British Sky Broadcasting
EEG;Europese Economische Gemeenschap
EMU;Economische en Monetaire Unie
GBP;Great-Britain Pound
ISO-code;International Organisation for Standardization-code
ITV;Independent Television
NAVO;Noord-Atlantische Verdragsorganisatie
brexit;British exit
ca.;circa
km²;vierkante kilometer
plc;public limited company
tv-serie;televisie serie
ITV-netwerk;Independent Television-netwerk"
6,SBS6,31688,SBS6;Scandinavian Broadcasting System 6,"NPO;Nederlandse Publieke Omroep
RTL;Radio Télévision Luxembourg
SBS9;Scandinavian Broadcasting System 9
TV;Televisie
RTL 4;Radio Télévision Luxembourg 4"
7,Koekoeksgraad,4734912,,DNA;Deoxyribonucleic acid
8,ASML,108617,"ASM;Advanced Semiconductor Materials
ASMI;Advanced Semiconductor Materials International
EUV;extreem ultraviolet
NASDAQ;National Association of Securities Dealers Automated Quotations
PAS;Philips Automatic Stepper
SVGL;Silicon Valley Group Lithography
F;fluor
nm;nanometer","AEX;Amsterdam Exchange
AG;Aktiengesellschaft
ASML;Advanced Semiconductor Materials Lithography
ArF-laser;argon fluoride light amplification by stimulated emission of radiation
CNSE;College of Nanoscale Science and Engineering
IC;Integrated Circuit
IMEC;Interuniversitair Micro-Electronica Centrum
KrF;Krypton Fluoride
NatLab;Natuurkundig Laboratorium
SMT;Semiconductor Manufacturing Technology
TSMC;Taiwan Semiconductor Manufacturing Company
US;United States
VS;Verenigde Staten
high-NA;high numerical aperture
laser;light amplification by stimulated emission of radiation
mm;millimeter
mp3;MPEG-1 Audio Layer III of MPEG-2 Audio Layer III
nm;nanometer
plm;plusminus
ASM;Advanced Semiconductor Materials
ArF;Argon fluoride
Laser;Light Amplificatin by Stimulated Emission of Radiation
MP;Mpeg
NASDAQ;National Association of Securities Dealers Automated Quotations
Nikon;Nippon Kogaku
R&D;Research & Development
excimer;Excited Dimer"
9,Radiogolf,54754,RF;radiofrequentie,"AF;audio frequency
AM;Amplitudemodulatie
ELF;extreem lage frequentie
FM;Frequentiemodulatie
GHz;Giga Herz
Hz;Herz
SLF;Super Low Frequency
ULF;Ultra lage frequentie
UMTS;Universal Mobile Telecommunications System
VLF;Very Low Frequency
radar;radio detection and ranging"
