,acronym,expansion,language,type,doc_id
0,ATWT,As the World Turns,en,out_expansion,Soapserie
1,BNN,Bart's Neverending Network,nl,out_expansion,Soapserie
2,GTST,"Goede tijden, slechte tijden",nl,in_expansion,Soapserie
3,ONM,Onderweg Naar Morgen,nl,in_expansion,Soapserie
4,RTL,Radio Télévision Luxembourg,nl,out_expansion,Soapserie
5,SBS6,Scandinavian Broadcasting System 6,en,out_expansion,Soapserie
6,etc.,et cetera,other language,out_expansion,Soapserie
7,ATWT,As the World Turns,en,in_expansion,Soapserie
8,BNN,Bart's Neverending Network,nl,out_expansion,Soapserie
9,GTST,"Goede tijden, slechte tijden",nl,in_expansion,Soapserie
10,ONM,Onderweg Naar Morgen,en,in_expansion,Soapserie
11,RTL,Radio Télévision Luxembourg,nl,out_expansion,Soapserie
12,SBS6,Scandinavian Broadcasting System 6,nl,out_expansion,Soapserie
13,etc.,et cetera,other language,out_expansion,Soapserie
14,CDSM,Copyright in the Digital Single Market,en,out_expansion,Publiek_domein
15,CIA,Central Intelligence Agency,en,out_expansion,Publiek_domein
16,CC0,Creative Commons Publiek Domein Verklaring,en,in_expansion,Publiek_domein
17,CDSM,Copyright in the Digital Single Market,en,out_expansion,Publiek_domein
18,CIA,Central Intelligence Agency,en,out_expansion,Publiek_domein
19,CC0,Creative Commons Publiek Domein Verklaring,en,in_expansion,Publiek_domein
20,PAK,polycyclische aromatische koolwaterstoffen,nl,in_expansion,Bitumen
21,v.Chr.,voor Christus,nl,out_expansion,Bitumen
22,°C,graden celcius,nl,out_expansion,Bitumen
23,PAK,polycyclische aromatische koolwaterstoffen,nl,in_expansion,Bitumen
24,Tg,glass transition temperature,en,out_expansion,Bitumen
25,v.Chr.,voor Christus,nl,out_expansion,Bitumen
26,°C,graden celcius,nl,out_expansion,Bitumen
27,Tg,glass transition temperature,en,out_expansion,Bitumen
28,LTO,Land- en Tuinbouworganisatie,nl,in_expansion,Waterschapsverkiezingen
29,T/m,Tot en met,nl,in_expansion,Waterschapsverkiezingen
30,VBNE,Vereniging van Bos- en Natuurterreineigenaren,nl,in_expansion,Waterschapsverkiezingen
31,LTO,Land- en Tuinbouworganisatie,nl,in_expansion,Waterschapsverkiezingen
32,T/m,Tot en met,nl,in_expansion,Waterschapsverkiezingen
33,VBNE,Vereniging van Bos- en Natuurterreineigenaren,nl,in_expansion,Waterschapsverkiezingen
34,FC,Football Club,en,out_expansion,Edinburgh
35,SNP,Scottish National Party,en,in_expansion,Edinburgh
36,St,saint,en,out_expansion,Edinburgh
37,UNESCO,"United Nations Educational, Scientific and Cultural Organization",en,out_expansion,Edinburgh
38,n.Chr.,na Christus,en,out_expansion,Edinburgh
39,o.a.,onder andere,en,out_expansion,Edinburgh
40,v.Chr.,voor Christus,other language,out_expansion,Edinburgh
41,FC,Football Club,en,out_expansion,Edinburgh
42,ONS,Office for National Statistics,en,out_expansion,Edinburgh
43,SNP,Scottish National Party,en,in_expansion,Edinburgh
44,St,saint,en,out_expansion,Edinburgh
45,UNESCO,"United Nations Educational, Scientific and Cultural Organization",en,out_expansion,Edinburgh
46,n.Chr.,na Christus,nl,out_expansion,Edinburgh
47,v.Chr.,voor Christus,nl,out_expansion,Edinburgh
48,o.a.,onder andere,nl,out_expansion,Edinburgh
49,BBC,British Broadcasting Corporation,en,out_expansion,Verenigd_Koninkrijk
50,BSkyB,British Sky Broadcasting,en,out_expansion,Verenigd_Koninkrijk
51,EEG,Europese Economische Gemeenschap,nl,out_expansion,Verenigd_Koninkrijk
52,EMU,Economische en Monetaire Unie,nl,out_expansion,Verenigd_Koninkrijk
53,EU,Europese Unie,en,in_expansion,Verenigd_Koninkrijk
54,GB,Groot-Brittannië,nl,in_expansion,Verenigd_Koninkrijk
55,GBP,Great-Britain Pound,en,out_expansion,Verenigd_Koninkrijk
56,ID-kaart,identiteitskaart,en,in_expansion,Verenigd_Koninkrijk
57,ISO-code,International Organisation for Standardization-code,en,out_expansion,Verenigd_Koninkrijk
58,ITV,Independent Television,en,out_expansion,Verenigd_Koninkrijk
59,MP,Members of Parliament,en,in_expansion,Verenigd_Koninkrijk
60,NAVO,Noord-Atlantische Verdragsorganisatie,nl,out_expansion,Verenigd_Koninkrijk
61,UK,United Kingdom,en,in_expansion,Verenigd_Koninkrijk
62,VK,Verenigd Koninkrijk,en,in_expansion,Verenigd_Koninkrijk
63,brexit,British exit,en,out_expansion,Verenigd_Koninkrijk
64,ca.,circa,nl,out_expansion,Verenigd_Koninkrijk
65,km²,vierkante kilometer,en,out_expansion,Verenigd_Koninkrijk
66,plc,public limited company,en,out_expansion,Verenigd_Koninkrijk
67,tv-serie,televisie serie,en,out_expansion,Verenigd_Koninkrijk
68,ITV-netwerk,Independent Television-netwerk,en,out_expansion,Verenigd_Koninkrijk
69,BBC,British Broadcasting Corporation,en,out_expansion,Verenigd_Koninkrijk
70,BSkyB,British Sky Broadcasting,en,out_expansion,Verenigd_Koninkrijk
71,EEG,Europese Economische Gemeenschap,nl,out_expansion,Verenigd_Koninkrijk
72,EU,Europese Unie,nl,in_expansion,Verenigd_Koninkrijk
73,EU-lidmaatschap,Europese Unie-lidmaatschap,nl,in_expansion,Verenigd_Koninkrijk
74,GB,Groot-Brittannië,nl,in_expansion,Verenigd_Koninkrijk
75,GBP,Great-Britain Pound,en,out_expansion,Verenigd_Koninkrijk
76,ID-kaart,identiteitskaart,nl,in_expansion,Verenigd_Koninkrijk
77,ISO-code,International Organisation for Standardization-code,en,out_expansion,Verenigd_Koninkrijk
78,ITV,Independent Television,en,out_expansion,Verenigd_Koninkrijk
79,MP,Members of Parliament,en,in_expansion,Verenigd_Koninkrijk
80,NAVO,Noord-Atlantische Verdragsorganisatie,nl,out_expansion,Verenigd_Koninkrijk
81,UK,United Kingdom,en,in_expansion,Verenigd_Koninkrijk
82,VK,Verenigd Koninkrijk,nl,in_expansion,Verenigd_Koninkrijk
83,km²,vierkante kilometer,nl,out_expansion,Verenigd_Koninkrijk
84,plc,public limited company,en,out_expansion,Verenigd_Koninkrijk
85,EMU,Economische en Monetaire Unie,nl,out_expansion,Verenigd_Koninkrijk
86,EU-lidmaatschap,Europese Unie-lidmaatschap,nl,in_expansion,Verenigd_Koninkrijk
87,ca.,circa,nl,out_expansion,Verenigd_Koninkrijk
88,tv-serie,televisie serie,en,out_expansion,Verenigd_Koninkrijk
89,brexit,British exit,en,out_expansion,Verenigd_Koninkrijk
90,ITV-netwerk,Independent Television-netwerk,en,out_expansion,Verenigd_Koninkrijk
91,ONS,Office for National Statistics,en,out_expansion,Edinburgh
92,NPO,Nederlandse Publieke Omroep,en,out_expansion,SBS6
93,RTL,Radio Télévision Luxembourg,en,out_expansion,SBS6
94,SBS6,Scandinavian Broadcasting System 6,en,in_expansion,SBS6
95,SBS9,Scandinavian Broadcasting System 9,en,out_expansion,SBS6
96,TV,Televisie,nl,out_expansion,SBS6
97,NPO,Nederlandse Publieke Omroep,nl,out_expansion,SBS6
98,RTL 4,Radio Télévision Luxembourg 4,none_of_above,out_expansion,SBS6
99,SBS6,Scandinavian Broadcasting System 6,en,in_expansion,SBS6
100,DNA,Deoxyribonucleic acid,en,out_expansion,Koekoeksgraad
101,DNA,Deoxyribonucleic acid,en,out_expansion,Koekoeksgraad
102,AEX,Amsterdam Exchange,en,out_expansion,ASML
103,AG,Aktiengesellschaft,none_of_above,out_expansion,ASML
104,ASM,Advanced Semiconductor Materials,other language,in_expansion,ASML
105,ASMI,Advanced Semiconductor Materials International,en,in_expansion,ASML
106,ASML,Advanced Semiconductor Materials Lithography,en,out_expansion,ASML
107,ArF-laser,argon fluoride light amplification by stimulated emission of radiation,none_of_above,out_expansion,ASML
108,CNSE,College of Nanoscale Science and Engineering,en,out_expansion,ASML
109,EUV,extreem ultraviolet,en,in_expansion,ASML
110,IC,Integrated Circuit,en,out_expansion,ASML
111,IMEC,Interuniversitair Micro-Electronica Centrum,nl,out_expansion,ASML
112,KrF,Krypton Fluoride,nl,out_expansion,ASML
113,NASDAQ,National Association of Securities Dealers Automated Quotations,en,in_expansion,ASML
114,NatLab,Natuurkundig Laboratorium,nl,out_expansion,ASML
115,PAS,Philips Automatic Stepper,en,in_expansion,ASML
116,SMT,Semiconductor Manufacturing Technology,en,out_expansion,ASML
117,SVGL,Silicon Valley Group Lithography,en,in_expansion,ASML
118,TSMC,Taiwan Semiconductor Manufacturing Company,en,out_expansion,ASML
119,US,United States,en,out_expansion,ASML
120,VS,Verenigde Staten,nl,out_expansion,ASML
121,high-NA,high numerical aperture,en,out_expansion,ASML
122,laser,light amplification by stimulated emission of radiation,en,out_expansion,ASML
123,mm,millimeter,nl,out_expansion,ASML
124,mp3,MPEG-1 Audio Layer III of MPEG-2 Audio Layer III,en,out_expansion,ASML
125,nm,nanometer,nl,out_expansion,ASML
126,plm,plusminus,nl,out_expansion,ASML
127,AEX,Amsterdam Exchange,en,out_expansion,ASML
128,AG,Aktiengesellschaft,none_of_above,out_expansion,ASML
129,ASM,Advanced Semiconductor Materials,en,out_expansion,ASML
130,ASML,Advanced Semiconductor Materials Lithography,en,out_expansion,ASML
131,ArF,Argon fluoride,en,out_expansion,ASML
132,CNSE,College of Nanoscale Science and Engineering,en,out_expansion,ASML
